,日期時間,標題,連結
42,2023/01/21 21:35,前男友如影隨形嗆聲有古怪　她報警才知車底藏蹊蹺,https://www.ettoday.net/news/20230121/2425254.htm
43,2023/01/21 21:35,4大新年開運色食材一次看！營養師激推：防癌還增記憶力,https://www.ettoday.net/news/20230121/2415293.htm
44,2023/01/21 21:35,亮眼紅錶「不是新年限定」！5款百搭推薦　玉兔採花超可愛,https://www.ettoday.net/news/20230121/2410791.htm
45,2023/01/21 21:30,台南炸雞節座上賓「8818」今變回憶殺　二代接班：昔最慘一天賺5000,https://www.ettoday.net/news/20230121/2419968.htm
46,2023/01/21 21:30,誰說韓國沒有初戀電影！「盤點4部催淚韓片」　哭到衛生紙不夠用,https://www.ettoday.net/news/20230121/2395479.htm
47,2023/01/21 21:27,連5年發錢母　台中福德廟豪氣宣布：今年加碼600萬發財金,https://www.ettoday.net/news/20230121/2423407.htm
48,2023/01/21 21:05,胖橘「超愛你丟我撿」！光速衝刺咬回…鏟屎官驚呼：你是狗狗嗎？,https://www.ettoday.net/news/20230121/2423819.htm
49,2023/01/21 21:05,北韓士兵開車途中偷看「不純影音」　逃跑被逮遭虐身亡,https://www.ettoday.net/news/20230121/2409918.htm
50,2023/01/21 21:03,快訊／海象不佳！台東往返綠島蘭嶼航線「初三及初四全數停航」,https://www.ettoday.net/news/20230121/2427439.htm
51,2023/01/21 21:03,科教館春節推兔年特別活動　讓民眾動手動腦過好年,https://www.ettoday.net/news/20230121/2425741.htm
52,2023/01/21 21:00,1.3萬名國保遺屬平均可領7000元沒來申請　勞保局籲留意自身權益,https://www.ettoday.net/news/20230121/2426728.htm
53,2023/01/21 21:00,放風新基地！台北「眷村元素」全齡公園　享受綿延綠意超愜意,https://www.ettoday.net/news/20230121/2415625.htm
54,2023/01/21 21:00,5明星私下超有愛心！豆花妹「淋雨協助車禍現場」…任賢齊幫尋子,https://www.ettoday.net/news/20230121/2414936.htm
55,2023/01/21 20:49,蕭敬騰沒回台過年！　「在國外圍爐守歲」宣布2月將有驚喜,https://www.ettoday.net/news/20230121/2427438.htm
56,2023/01/21 20:44,口罩妹合照鋼鐵人「胸口太搶眼」萬人朝聖　IG帳號曝：罩杯破壞者,https://www.ettoday.net/news/20230121/2427436.htm
57,2023/01/21 20:38,快訊／大樂透1億獎號來了！春節百萬紅包「還有331組」　等你來領,https://www.ettoday.net/news/20230121/2427432.htm
58,2023/01/21 20:35,快訊／吃團圓飯時電鈴響　新北男應門遭鄰居持刀狂捅「肚破腸流」,https://www.ettoday.net/news/20230121/2427437.htm
59,2023/01/21 20:34,冬季抗東北季風防空污　台中建商各出奇招,https://www.ettoday.net/news/20230121/2413679.htm
60,2023/01/21 20:30,體育生失戀「操場狂奔」！竟意外打破校內維持12年400公尺紀錄,https://www.ettoday.net/news/20230121/2423113.htm
61,2023/01/21 20:30,台北五處河濱公園一次看！　騎乘單車賞浪漫花海超愜意,https://www.ettoday.net/news/20230121/2419659.htm
62,2023/01/21 20:30,他上桌「摸2圈」！下秒整個人動不了　醫一照：脊椎爆出來了,https://www.ettoday.net/news/20230121/2402507.htm
63,2023/01/21 20:30,IZ*ONE解散2年！12位成員現況盤點　宮脇咲良3度出道、張員瑛成大勢,https://www.ettoday.net/news/20230121/2391762.htm
64,2023/01/21 20:18,10年來都靈驗！命理師曝「初一這2時間招財」：拜完馬上接大case,https://www.ettoday.net/news/20230121/2427387.htm
65,2023/01/21 20:17,5種「過期美妝保養品」先別丟！可當乾洗髮、清潔廚房　超好用還省錢,https://www.ettoday.net/news/20230121/2418153.htm
66,2023/01/21 20:09,藍綠白大咖初一拜拜　板橋慈惠宮「侯郭配」、賴清德也要去,https://www.ettoday.net/news/20230121/2427433.htm
67,2023/01/21 20:08,愛犬出門遭「寄生蟲緊咬」！照片內行人秒認出：千萬別捏爆,https://www.ettoday.net/news/20230121/2416812.htm
68,2023/01/21 20:05,阿北又是您！北市翁捧300萬投資區塊鏈　被勸退隔3天又來,https://www.ettoday.net/news/20230121/2425130.htm
69,2023/01/21 20:03,國旅6大風景區升級！觀光局曝「疫後最新玩法」　全部亮點一次看,https://www.ettoday.net/news/20230121/2414817.htm
70,2023/01/21 20:02,火鍋「最吸油食材」曝光！營養師驚揭喝湯後果,https://www.ettoday.net/news/20230121/2425124.htm
71,2023/01/21 20:00,飯店改建館內餐廳不停業　這6家另尋新據點重開幕,https://www.ettoday.net/news/20230121/2417579.htm
72,2023/01/21 20:00,走路能旺運！命理師曝奇門遁甲「納氣補運」法：做對就能招好運,https://www.ettoday.net/news/20230121/2393069.htm
73,2023/01/21 19:57,郭董除夕來拜年！「1句賀詞」曝心願：我最喜歡也希望的,https://www.ettoday.net/news/20230121/2427434.htm
74,2023/01/21 19:52,數發部粉專遭嗆聲「滾下台」！唐鳳高EQ回應一票人讚爆,https://www.ettoday.net/news/20230121/2427419.htm
