,日期時間,標題,連結
75,2023/01/21 19:52,海域救生勁給力　海委會連3年補助宜蘭縣...購置海域救生裝備,https://www.ettoday.net/news/20230121/2417557.htm
76,2023/01/21 19:39,鄭州富士康恢復疫情前生產狀態　春節發留守員工6萬元大紅包,https://www.ettoday.net/news/20230121/2427435.htm
77,2023/01/21 19:37,陸車廠遭駭客勒索　疑不付贖金被嗆「寧願花千萬請歌手」,https://www.ettoday.net/news/20230121/2412612.htm
78,2023/01/21 19:37,5個小習慣開啟極簡生活　購物時先想「怎麼丟」、包包裡只放10樣東西,https://www.ettoday.net/news/20230121/2409405.htm
79,2023/01/21 19:33,「4生肖」2023年有雙喜　財運旺、工作升職加薪　　　　,https://www.ettoday.net/news/20230121/2415622.htm
80,2023/01/21 19:30,顏佑庭曝爸曾反對進演藝圈！　「堅持念藝術系」關房間冷戰1個月,https://www.ettoday.net/news/20230121/2415925.htm
81,2023/01/21 19:29,「一喝酒就臉紅」是基因缺陷！50%台人都有　想練酒量…致癌率飆,https://www.ettoday.net/news/20230121/2416285.htm
82,2023/01/21 19:27,防空、反艦飛彈如何對地攻擊？　PTT內行鄉民解答,https://www.ettoday.net/news/20230121/2424396.htm
83,2023/01/21 19:17,資產滾到8位數！三寶奶爸「簡單1招」買0050　靠股息養全家,https://www.ettoday.net/news/20230121/2426664.htm
84,2023/01/21 19:05,24歲海巡下士轉戰房仲　成交送iPhone14吸讚...年薪輾壓前東家,https://www.ettoday.net/news/20230121/2423902.htm
85,2023/01/21 19:00,馬英九盼兔年「迎來大地回春」　「馬式春聯」5年變化看這,https://www.ettoday.net/news/20230121/2418013.htm
86,2023/01/21 19:00,饋下巴好爽！邊境聽到握手「瞬間無力」抬不動　媽笑：50肩發作？,https://www.ettoday.net/news/20230121/2414941.htm
87,2023/01/21 19:00,83歲阿嬤激戰37歲小鮮肉「每次愛完都送醫」！3對嬤孫戀比年輕人還火熱,https://www.ettoday.net/news/20230121/2406157.htm
88,2023/01/21 18:55,女偶像「誤用Chinese new year」道歉！　陸網氣嗆韓國人：本就中國的,https://www.ettoday.net/news/20230121/2427424.htm
89,2023/01/21 18:52,仁德家樂福新仁店歡慶辦年貨　南消兔年新春防災宣導　,https://www.ettoday.net/news/20230121/2427426.htm
90,2023/01/21 18:52,活力平台媒合基金會捐「擔架界變形金剛」　宜蘭消防救災蓋省力,https://www.ettoday.net/news/20230121/2417548.htm
91,2023/01/21 18:50,議員徐弘庭母親除夕過世！悲痛喊話：第一次感受生命在手中消逝,https://www.ettoday.net/news/20230121/2427425.htm
92,2023/01/21 18:47,快訊／除夕夜傳憾事　台中民宅火警「1人身亡」,https://www.ettoday.net/news/20230121/2427422.htm
93,2023/01/21 18:41,寒冬送暖企業捐助加菜　打火兄弟年節暖心不畏寒,https://www.ettoday.net/news/20230121/2427423.htm
94,2023/01/21 18:38,10外甥拜年！集體找舅舅討紅包　他被「逼進牆角」表情超無奈,https://www.ettoday.net/news/20230121/2427395.htm
95,2023/01/21 18:31,你知道「醋勁」是怎麼來的嗎？　專家解析3類醋品釀造方式,https://www.ettoday.net/news/20230121/2407684.htm
96,2023/01/21 18:30,黃瀞瑩、林珍羽煮年菜陪過除夕夜　柯文哲、陳佩琪當評審爆笑料,https://www.ettoday.net/news/20230121/2426624.htm
97,2023/01/21 18:30,莎莎認錄《嗨！營業中》超崩潰！　一看到浩子「真的快哭出來」,https://www.ettoday.net/news/20230121/2393366.htm
98,2023/01/21 18:15,6款刮刮樂！　這張「中獎率100%」快買,https://www.ettoday.net/news/20230121/2420751.htm
99,2023/01/21 18:14,台裔阿兵哥開箱「美軍宿舍」　一人一房環境超舒適,https://www.ettoday.net/news/20230121/2421008.htm
